POISSON BOLTZMANN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
83,-2084.4945,-18920.1235,-3171.1497,65.2932,0.0,-21004.618,-3105.8565,-24110.4745
84,-2046.6511,-19021.6237,-3144.8547,65.4997,0.0,-21068.2748,-3079.355,-24147.6298
85,-2062.115,-18930.0971,-3179.3138,65.54,0.0,-20992.2121,-3113.7738,-24105.9859
86,-2062.1602,-18924.9177,-3202.4967,66.1511,0.0,-20987.0779,-3136.3456,-24123.4235
87,-2075.5367,-19095.9543,-3087.6333,65.5191,0.0,-21171.491,-3022.1142,-24193.6052
88,-2072.0943,-19051.9736,-3106.7607,65.2074,0.0,-21124.0679,-3041.5533,-24165.6212
89,-2076.1662,-19030.6786,-3080.86,64.7582,0.0,-21106.8448,-3016.1018,-24122.9466
90,-2041.2202,-19117.6722,-3123.13,65.5505,0.0,-21158.8924,-3057.5795,-24216.4719
91,-2068.652,-18963.3153,-3151.9843,65.9686,0.0,-21031.9673,-3086.0157,-24117.983
92,-2023.738,-19063.6889,-3100.9609,65.7403,0.0,-21087.4269,-3035.2206,-24122.6475
93,-2058.1287,-19101.4928,-3082.4685,65.4134,0.0,-21159.6215,-3017.0551,-24176.6766
94,-2059.2366,-19024.6695,-3100.2764,64.7584,0.0,-21083.9061,-3035.518,-24119.4241
95,-2047.6238,-18988.8472,-3152.9344,64.6174,0.0,-21036.471,-3088.317,-24124.788
96,-2066.2578,-18984.1556,-3169.7014,64.8146,0.0,-21050.4134,-3104.8868,-24155.3002
97,-2061.7502,-19036.4685,-3123.5188,65.525,0.0,-21098.2187,-3057.9938,-24156.2125
98,-2081.6847,-19018.7643,-3098.9201,65.428,0.0,-21100.449,-3033.4921,-24133.9411
99,-2036.7299,-19047.4861,-3133.236,66.3184,0.0,-21084.216,-3066.9176,-24151.1336
100,-2079.5212,-19027.6618,-3092.0647,65.3965,0.0,-21107.183,-3026.6682,-24133.8512
101,-2067.783,-19035.6552,-3101.4062,65.9751,0.0,-21103.4382,-3035.4311,-24138.8693
102,-2045.2608,-19034.0097,-3158.2747,66.295,0.0,-21079.2705,-3091.9797,-24171.2502
103,-2048.8339,-19055.2502,-3139.5163,66.1213,0.0,-21104.0841,-3073.395,-24177.4791
104,-2080.5509,-19006.5858,-3114.1138,65.4712,0.0,-21087.1367,-3048.6426,-24135.7793
105,-2044.6181,-19121.0349,-3122.031,64.9786,0.0,-21165.653,-3057.0524,-24222.7054
106,-2089.5628,-19016.4746,-3135.9522,65.8412,0.0,-21106.0374,-3070.111,-24176.1484
107,-2098.7119,-19029.2138,-3110.0069,65.1919,0.0,-21127.9257,-3044.815,-24172.7407
108,-2079.6241,-19039.4453,-3115.1965,64.9075,0.0,-21119.0694,-3050.289,-24169.3584
109,-2057.626,-19122.6251,-3085.7598,65.0721,0.0,-21180.2511,-3020.6877,-24200.9388
110,-2062.8656,-19062.5517,-3117.3553,65.0767,0.0,-21125.4173,-3052.2786,-24177.6959
111,-2040.3438,-18968.4825,-3160.6487,65.2706,0.0,-21008.8263,-3095.3781,-24104.2044
112,-2035.3943,-19011.3947,-3127.0541,65.9931,0.0,-21046.789,-3061.061,-24107.85
113,-2076.8654,-18973.968,-3151.9694,65.2587,0.0,-21050.8334,-3086.7107,-24137.5441
114,-2055.0655,-18960.0027,-3174.0607,64.7662,0.0,-21015.0682,-3109.2945,-24124.3627
115,-2062.5859,-18969.5706,-3201.9874,64.6893,0.0,-21032.1565,-3137.2981,-24169.4546
116,-2082.0615,-18946.5562,-3164.3994,64.5494,0.0,-21028.6177,-3099.85,-24128.4677
117,-2049.9939,-19012.5474,-3175.6949,65.2412,0.0,-21062.5413,-3110.4537,-24172.995
118,-2093.9823,-18996.4748,-3205.749,65.834,0.0,-21090.4571,-3139.915,-24230.3721
119,-2036.7112,-19001.1077,-3212.6251,65.3151,0.0,-21037.8189,-3147.31,-24185.1289
120,-2094.7251,-18892.8581,-3284.3504,65.7712,0.0,-20987.5832,-3218.5792,-24206.1624
121,-2066.0918,-18930.0972,-3172.659,65.9177,0.0,-20996.189,-3106.7413,-24102.9303
122,-2039.3836,-18976.4488,-3190.3697,65.7009,0.0,-21015.8324,-3124.6688,-24140.5012
123,-2063.8658,-18986.2876,-3182.2281,65.0167,0.0,-21050.1534,-3117.2114,-24167.3648
124,-2088.654,-18876.2195,-3214.5514,65.3749,0.0,-20964.8735,-3149.1765,-24114.05
125,-2084.9747,-18879.2008,-3233.777,65.6027,0.0,-20964.1755,-3168.1743,-24132.3498
126,-2061.2489,-18987.4497,-3216.2883,65.4357,0.0,-21048.6986,-3150.8526,-24199.5512
127,-2027.608,-18904.4599,-3259.6862,66.0683,0.0,-20932.0679,-3193.6179,-24125.6858
128,-2077.0997,-18913.976,-3253.0127,65.6246,0.0,-20991.0757,-3187.3881,-24178.4638
129,-2105.6198,-18952.4863,-3213.7518,66.1642,0.0,-21058.1061,-3147.5876,-24205.6937
130,-2062.8465,-18896.7966,-3300.8333,65.6838,0.0,-20959.6431,-3235.1495,-24194.7926
131,-2069.7685,-18979.6156,-3187.7925,65.4696,0.0,-21049.3841,-3122.3229,-24171.707
132,-2074.3031,-18930.0888,-3195.0679,65.6452,0.0,-21004.3919,-3129.4227,-24133.8146
133,-2043.37,-19029.3237,-3183.8516,65.6182,0.0,-21072.6937,-3118.2334,-24190.9271
134,-2063.7721,-19030.7349,-3176.236,64.8453,0.0,-21094.507,-3111.3907,-24205.8977
135,-2042.1759,-19064.1605,-3161.9725,65.6494,0.0,-21106.3364,-3096.3231,-24202.6595
136,-2067.0966,-18997.3016,-3183.405,65.2288,0.0,-21064.3982,-3118.1762,-24182.5744
137,-2059.8013,-18859.6329,-3283.23,66.1738,0.0,-20919.4342,-3217.0562,-24136.4904
138,-2069.4908,-19017.4337,-3203.3393,65.4315,0.0,-21086.9245,-3137.9078,-24224.8323
139,-2063.2581,-19046.0133,-3179.3575,65.6094,0.0,-21109.2714,-3113.7481,-24223.0195
140,-2072.6388,-18923.4357,-3221.1848,65.6769,0.0,-20996.0745,-3155.5079,-24151.5824
141,-2075.0895,-19012.7481,-3151.617,65.4666,0.0,-21087.8376,-3086.1504,-24173.988
142,-2059.524,-19141.9579,-3098.3602,65.3766,0.0,-21201.4819,-3032.9836,-24234.4655
143,-2045.8593,-18936.7265,-3201.1371,66.2951,0.0,-20982.5858,-3134.842,-24117.4278
144,-2061.2872,-18954.3404,-3190.1948,65.9762,0.0,-21015.6276,-3124.2186,-24139.8462
145,-2081.2655,-19018.9882,-3143.461,65.636,0.0,-21100.2537,-3077.825,-24178.0787
146,-2074.1842,-19014.3352,-3129.5735,65.6082,0.0,-21088.5194,-3063.9653,-24152.4847
147,-2112.3294,-19094.0739,-3105.6745,65.6885,0.0,-21206.4033,-3039.986,-24246.3893
148,-2067.5243,-19053.7434,-3133.3515,66.3295,0.0,-21121.2677,-3067.022,-24188.2897
149,-2052.6973,-19001.1634,-3155.2524,65.5995,0.0,-21053.8607,-3089.6529,-24143.5136
150,-2087.938,-19015.9508,-3121.3181,65.9275,0.0,-21103.8888,-3055.3906,-24159.2794
151,-2099.4308,-19084.2759,-3107.7206,64.9665,0.0,-21183.7067,-3042.7541,-24226.4608
152,-2076.4431,-19007.2908,-3062.8712,65.4386,0.0,-21083.7339,-2997.4326,-24081.1665
153,-2057.45,-19174.1807,-2998.2834,65.2725,0.0,-21231.6307,-2933.0109,-24164.6416
154,-2048.454,-19137.8467,-3054.303,65.8626,0.0,-21186.3007,-2988.4404,-24174.7411
155,-2054.5787,-19117.5794,-3077.3457,66.6675,0.0,-21172.1581,-3010.6782,-24182.8363
156,-2066.9967,-19077.2126,-3078.4317,65.7965,0.0,-21144.2093,-3012.6352,-24156.8445
157,-2080.9663,-19078.8489,-3048.8113,66.2918,0.0,-21159.8152,-2982.5195,-24142.3347
158,-2069.0407,-19225.2703,-3017.1817,65.9197,0.0,-21294.311,-2951.262,-24245.573
159,-2055.0614,-19172.4504,-3053.4416,66.0229,0.0,-21227.5118,-2987.4187,-24214.9305
160,-2054.5093,-19097.2444,-3095.0131,66.1122,0.0,-21151.7537,-3028.9009,-24180.6546
161,-2087.7022,-19199.5421,-3034.3659,65.2955,0.0,-21287.2443,-2969.0704,-24256.3147
162,-2061.468,-19191.7449,-3035.9625,65.8326,0.0,-21253.2129,-2970.1299,-24223.3428
163,-2082.492,-19127.3067,-3055.0012,65.7085,0.0,-21209.7987,-2989.2927,-24199.0914
164,-2079.3039,-19107.7895,-3095.0357,66.1548,0.0,-21187.0934,-3028.8809,-24215.9743
165,-2070.2584,-19073.0559,-3106.9396,66.2261,0.0,-21143.3143,-3040.7135,-24184.0278
166,-2078.2097,-19105.0791,-3105.7706,65.2964,0.0,-21183.2888,-3040.4742,-24223.763
167,-2049.166,-19237.1418,-3017.7376,65.1135,0.0,-21286.3078,-2952.6241,-24238.9319
168,-2058.6668,-19149.7868,-3044.3246,64.9613,0.0,-21208.4536,-2979.3633,-24187.8169
169,-2064.6364,-19154.7624,-3007.6466,65.3309,0.0,-21219.3988,-2942.3157,-24161.7145
170,-2074.6568,-19124.0773,-3071.2116,64.9824,0.0,-21198.7341,-3006.2292,-24204.9633
171,-2070.8816,-19272.246,-3009.6123,65.3369,0.0,-21343.1276,-2944.2754,-24287.403
172,-2050.7179,-19265.257,-3057.0208,65.3169,0.0,-21315.9749,-2991.7039,-24307.6788
173,-2067.5988,-19227.4093,-3071.4868,65.7148,0.0,-21295.0081,-3005.772,-24300.7801
174,-2063.9457,-19199.5444,-3083.9361,65.0508,0.0,-21263.4901,-3018.8853,-24282.3754
175,-2082.6984,-19149.5598,-3079.5341,65.4736,0.0,-21232.2582,-3014.0605,-24246.3187
176,-2074.6315,-19201.1284,-3058.7551,65.2235,0.0,-21275.7599,-2993.5316,-24269.2915
177,-2028.1707,-19310.2163,-2998.9802,65.39,0.0,-21338.387,-2933.5902,-24271.9772
178,-2074.8079,-19223.1991,-3007.5567,65.7655,0.0,-21298.007,-2941.7912,-24239.7982
179,-2075.3477,-19140.9299,-3110.8961,65.785,0.0,-21216.2776,-3045.1111,-24261.3887
180,-2088.5996,-19196.7334,-3107.7503,66.4517,0.0,-21285.333,-3041.2986,-24326.6316
181,-2063.4653,-19127.767,-3118.4939,65.7293,0.0,-21191.2323,-3052.7646,-24243.9969
182,-2059.9791,-19221.7266,-3057.1122,66.0369,0.0,-21281.7057,-2991.0753,-24272.781
183,-2056.7328,-19185.1389,-3079.147,65.6495,0.0,-21241.8717,-3013.4975,-24255.3692
184,-2079.4802,-19176.5603,-3044.0203,65.1563,0.0,-21256.0405,-2978.864,-24234.9045
185,-2061.4615,-19219.1507,-3089.0302,65.1303,0.0,-21280.6122,-3023.8999,-24304.5121
186,-2054.8628,-19218.984,-3071.5627,65.6995,0.0,-21273.8468,-3005.8632,-24279.71
187,-2031.8643,-19271.8144,-3057.1981,66.2508,0.0,-21303.6787,-2990.9473,-24294.626
